FkkoCode,FkkoDescription,collection,disposal,placement,processing,transportation,utilization
11419111494,"Отходы грунта, загрязненные гербицидом 2 класса опасности (содержание гербицида менее 3%)",1,1,1,1,1,0
11419711394,"Жидкие отходы мойки полов объектов хранения средств защиты растений, содержащие нефтепродукты (содержание нефтепродуктов менее 15%)",0,0,0,0,0,0
11420000000,"Корма для животных, утратившие потребительские свойства",0,0,0,0,0,0
11421000000,"Корма растительного происхождения, утратившие потребительские свойства",0,0,0,0,0,0
11421111495,"Фуражное зерно, утратившее потребительские свойства",0,0,0,0,0,0
11421121395,Отходы силоса,0,0,0,0,0,0
11421811205,"Смесь кормов растительного происхождения, утративших потребительские свойства",0,0,0,0,0,0
11421911395,"Остатки кормов с раздаточных столов коровников, утратившие потребительские свойства",0,0,0,0,0,0
15000000000,Отходы при лесоводстве и лесозаготовках,0,0,0,0,0,0
15100000000,Отходы при лесоводстве,0,0,0,0,0,0
15200000000,Отходы при лесозаготовках,0,0,0,0,0,0
15210000000,Отходы производства круглых лесоматериалов,0,0,0,0,0,0
15211000000,Отходы древесины от лесоразработок,0,0,0,0,0,0
15211001215,"Отходы сучьев, ветвей, вершинок от лесоразработок",0,0,0,0,0,0
15211002215,Отходы корчевания пней,0,0,0,0,0,0
15211003235,Зелень древесная,0,0,0,0,0,0
15211004215,Отходы раскряжевки,0,0,0,0,0,0
15410000000,Прочие отходы при лесоводстве и лесозаготовках,0,0,0,0,0,0
15411001215,"Отходы малоценной древесины (хворост, валежник, обломки стволов)",0,0,0,0,0,0
17000000000,"Отходы при рыболовстве, рыбоводстве",0,0,0,0,0,0
17110000000,Отходы при рыболовстве,0,0,0,0,0,0
17115000000,"Отходы первичной обработки кораллов, раковин и панцирей моллюсков, ракообразных, иглокожих",0,0,0,0,0,0
17115211205,Раковины рапан при их обработке,0,0,0,0,0,0
17115811495,Отходы переработки цист рачка артемии,0,0,0,0,0,0
17900000000,Отходы прочих видов деятельности при рыболовстве и рыбоводстве,0,0,0,0,0,0
17935111614,Отходы сетей и сетепошивочного материала из полиамидного волокна,0,0,0,0,0,0
20000000000,Отходы добычи полезных ископаемых,0,0,0,0,0,0
20010000000,Отходы проведения вскрышных работ при добыче полезных ископаемых,0,0,0,0,0,0
20011000000,Скальные вскрышные породы,0,0,0,0,0,0
20011001205,Скальные вскрышные породы силикатные практически неопасные,0,0,0,0,0,0
20011002205,Скальные вскрышные породы карбонатные практически неопасные,0,0,0,0,0,0
20011003205,Скальные вскрышные породы кремнистые практически неопасные,0,0,0,0,0,0
20011004205,Скальные вскрышные породы сульфатные практически неопасные,0,0,0,0,0,0
20011099205,Скальные вскрышные породы в смеси практически неопасные,0,0,0,0,0,0
20012000000,Рыхлые вскрышные породы,0,0,0,0,0,0
20012001405,Гравийно-галечные вскрышные породы практически неопасные,0,0,0,0,0,0
20012002405,Песчаные вскрышные породы практически неопасные,0,0,0,0,0,0
20012003405,Супесчаные вскрышные породы практически неопасные,0,0,0,0,0,0
20012099405,Рыхлые вскрышные породы в смеси практически неопасные,0,0,0,0,0,0
20013000000,Связные вскрышные породы,0,0,0,0,0,0
20013001395,Глинистые вскрышные породы практически неопасные,0,0,0,0,0,0
20013002395,Суглинистые вскрышные породы практически неопасные,0,0,0,0,0,0
20013099395,Связные вскрышные породы в смеси практически неопасные,0,0,0,0,0,0
20016121395,Вскрышная порода рыхлая при проведении вскрышных работ гидромеханизированным способом,0,0,0,0,0,0
20019000000,Прочие вскрышные породы,0,0,0,0,0,0
20019099395,Вскрышные породы в смеси практически неопасные,0,0,0,0,0,0
21000000000,Отходы добычи топливно-энергетических полезных ископаемых,0,0,0,0,0,0
21100000000,Отходы добычи и обогащения угля,0,0,0,0,0,0
21110000000,Отходы добычи угля открытым способом,0,0,0,0,0,0
21111111205,Вскрышная порода при добыче угля открытым способом,0,0,0,0,0,0
21111611395,Отходы извлечения угля из разубоженной породы противоточно-гравитационным методом,0,0,0,0,0,0
21120000000,"Отходы добычи антрацита, коксующегося, бурого и других видов угля подземным способом",0,0,0,0,0,0
21121101205,Вскрышная пустая порода при проходке стволов шахт добычи угля,0,0,0,0,0,0
21122111205,Вмещающая порода при добыче угля подземным способом,0,0,0,0,0,0
21128000000,Отходы очистки шахтных вод и иных вод при добыче и обогащении угля,0,0,0,0,0,0
21128001334,Шлам угольный от механической очистки шахтных вод малоопасный,0,0,0,0,0,0
21128111395,Осадок механической очистки карьерных вод при добыче угля,0,0,0,0,0,0
21128211205,Отходы очистки флотацией шахтных вод при добыче угля,0,0,0,0,0,0
21128811395,Осадок механической очистки сточных вод с отвала вскрышных пород при добыче угля,0,0,0,0,0,0
21128911395,"Осадок механической очистки смеси шахтных, карьерных, ливневых вод",0,0,0,0,0,0
21128921394,Осадок (ил) биологической очистки хозяйственно-бытовых и смешанных сточных вод при добыче угля,0,0,0,0,0,0
21130000000,"Отходы обогащения антрацита, коксующегося, бурого и других видов угля",0,0,0,0,0,0
21131000000,Отходы при дроблении и переработке угольного сырья,0,0,0,0,0,0
21131001495,Отсев каменного угля в виде крошки,0,0,0,0,0,0
21131002424,Пыль газоочистки каменноугольная,0,0,0,0,0,0
